location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Hauptstraße (Süd), Erlangen;2024-01-04 15:00:00 +0100;Thursday;1333;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 16:00:00 +0100;Thursday;1462;8;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-04 17:00:00 +0100;Thursday;1428;7;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-04 18:00:00 +0100;Thursday;994;6;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-04 19:00:00 +0100;Thursday;799;6;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-04 20:00:00 +0100;Thursday;478;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-04 21:00:00 +0100;Thursday;358;5;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-04 22:00:00 +0100;Thursday;222;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-04 23:00:00 +0100;Thursday;174;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-05 00:00:00 +0100;Friday;77;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-05 01:00:00 +0100;Friday;38;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 02:00:00 +0100;Friday;19;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 03:00:00 +0100;Friday;27;2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-05 04:00:00 +0100;Friday;10;2;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 05:00:00 +0100;Friday;36;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 06:00:00 +0100;Friday;59;3;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-05 07:00:00 +0100;Friday;167;3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 08:00:00 +0100;Friday;265;2;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 09:00:00 +0100;Friday;497;2;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-05 10:00:00 +0100;Friday;938;4;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-05 11:00:00 +0100;Friday;1293;5;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-05 12:00:00 +0100;Friday;1403;7;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-05 13:00:00 +0100;Friday;1457;7;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-05 14:00:00 +0100;Friday;1493;8;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-05 15:00:00 +0100;Friday;1543;8;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-05 16:00:00 +0100;Friday;1760;7;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-05 17:00:00 +0100;Friday;1510;7;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 18:00:00 +0100;Friday;1286;7;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-05 19:00:00 +0100;Friday;1052;6;rain;
Hauptstraße (Süd), Erlangen;2024-01-05 20:00:00 +0100;Friday;623;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 21:00:00 +0100;Friday;531;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-05 22:00:00 +0100;Friday;390;4;partly-cloudy-night;
